learning_rate,max_depth,n_estimators,cv_roc_auc
0.01,12,250,0.7265354610337437
0.01,12,200,0.725263496042647
0.01,10,250,0.7251038472851472
0.1,4,50,0.724805057863349
0.01,10,200,0.7243254228522046
0.05,4,100,0.7241061071973921
0.05,10,50,0.7238719812510936
0.01,8,250,0.7238704174801778
0.05,12,50,0.723785519678252
0.01,12,150,0.7235217699469282
0.01,8,200,0.7231330648235194
0.01,4,250,0.7230239633037973
0.05,4,150,0.722900794751303
0.01,10,150,0.7226832824465949
0.05,12,100,0.7224848470444426
0.01,8,150,0.7223021408126943
0.01,6,250,0.7222398827827076
0.01,4,200,0.7220677233003561
0.01,6,200,0.7219747176029631
0.05,4,50,0.7218466146679917
0.01,10,100,0.7217688734441784
0.01,12,100,0.7217360001233973
0.05,4,200,0.7215117247724456
0.05,8,50,0.7214986957071362
0.01,6,150,0.7213945692277225
0.01,12,50,0.7209313176448103
0.01,6,50,0.7208966736452235
0.01,8,100,0.7208225661293257
0.0025,12,250,0.7207529147554936
0.01,6,100,0.7206886229369261
0.0025,8,250,0.7205379359274765
0.01,10,50,0.720516398406632
0.05,8,100,0.7205052740054357
0.0025,12,200,0.7204424693563305
0.05,6,50,0.7203599437550418
0.0025,8,200,0.7203121374155126
0.0025,10,250,0.7202256303736715
0.01,4,150,0.7202167041076976
0.0025,6,200,0.7201909131653564
0.0025,6,150,0.7200886744915119
0.0025,6,250,0.720056575044192
0.01,8,50,0.7200044058934091
0.0025,10,200,0.7199982070228478
0.0025,12,150,0.7198763348694657
0.05,4,250,0.7198215135452889
0.1,4,100,0.719815395312081
0.0025,8,150,0.719734036025144
0.05,12,150,0.7195046678293925
0.0025,10,150,0.7194964912552991
0.05,10,100,0.7192685711474528
0.0025,4,200,0.7189132667031596
0.01,4,50,0.7188881338377682
0.0025,4,150,0.7186312116482932
0.0025,4,250,0.7186202388103462
0.01,4,100,0.7185856675228064
0.001,10,250,0.7185208157661931
0.001,12,250,0.7185132953701014
0.0025,6,50,0.7185056309832013
0.001,8,250,0.7184215774771103
0.0025,12,100,0.7183876103020496
0.001,10,200,0.7183788386615264
0.001,12,200,0.7182274224730052
0.001,12,150,0.7182126510708584
0.0025,6,100,0.7181960044226864
0.001,10,150,0.7181915816983412
0.001,8,200,0.7180966639543162
0.001,4,200,0.7180526875504855
0.05,6,100,0.7179842317469912
0.0025,8,100,0.7179043626300631
0.001,4,250,0.7178955689299755
0.001,8,150,0.7178858774529192
0.001,6,150,0.7178692426430883
0.0025,10,100,0.7178680828427018
0.001,6,250,0.7178608677862829
0.001,6,200,0.717807609881166
0.001,12,100,0.7177387473603761
0.0025,12,50,0.7176946581834739
0.0025,4,50,0.7174817919193838
0.0025,4,100,0.7174589968276166
0.001,10,100,0.7174443869868435
0.001,8,100,0.7173656888557515
0.001,4,150,0.7173306938928125
0.0025,8,50,0.7172848219692071
0.001,6,100,0.7172391445036372
0.0025,10,50,0.7170655734325232
0.05,8,150,0.7168892670437813
0.1,6,50,0.7168405277101743
0.1,8,50,0.7168324090960985
0.1,12,50,0.716594417666637
0.05,12,200,0.7164824006052212
0.001,4,100,0.7164672933198579
0.001,12,50,0.7155818413567113
0.001,10,50,0.7153871438263444
0.1,10,50,0.7153730096476995
0.001,8,50,0.7149664178898707
0.1,4,150,0.714677364756768
0.001,6,50,0.7144623567405407
0.05,6,150,0.7141644247544475
0.05,12,250,0.7141277881261794
0.05,10,150,0.7140956920115676
0.001,4,50,0.7140839927528534
0.05,8,200,0.7135400382660627
0.05,6,200,0.7114832896853728
0.05,10,200,0.7103208251695118
0.1,4,200,0.7098286238510089
0.05,8,250,0.7095619584258669
0.1,10,100,0.709110918629685
0.1,6,100,0.7089960592374617
0.05,6,250,0.7079887332257186
0.1,8,100,0.7072990437386815
0.05,10,250,0.7071963060064191
0.1,4,250,0.707049462866383
0.1,12,100,0.7062774627730802
0.1,6,150,0.7022943771101717
0.1,12,150,0.7021855972619001
0.1,10,150,0.7019396361653323
0.1,8,150,0.7002081805201824
0.1,10,200,0.6989233180962714
0.1,12,200,0.6983193962618749
0.1,8,200,0.697493531412397
0.1,6,200,0.6973658150173027
0.1,10,250,0.6957144814827471
0.1,12,250,0.6942937647122304
0.1,6,250,0.6932220499315038
0.1,8,250,0.6923554165797273
